Job Title,Job Description,Job Sector,Salary Range,Date published,Contact,Company_name
Япон эсвэл англи хэлний мэдлэгтэй жолооч,"Гадны мэргэжилтэн, зочид төлөөлөгчид, захирлын жолооч","Тээвэр, гааль, агуулах",1650000.0,2022-12-05,85803190,Номун Би Ди Интернэшнл 
Үйлдвэрийн тоног төхөөрөмжийн Оператор,"- Үйлдвэрийн тоног төхөөрөмжийн хэвийн, найдвартай ажиллагааг хангаж ажиллах - Стандартын дагуу бүтээгдэхүүний гарцанд хяналт тавих  - Хувийн зохион байгуулалт, техник сэтгэлгээ сайтай - Удирдлагаас өгсөн бусад үүрэг даалгаварыг хугацаанд нь чанартай гүйцэтгэх чадвартай","Үйлдвэрлэл, Дэд бүтэц",1650000.0,2022-12-16,88044327,Тнгри инвест 
Борлуулагч," Захиалгат бүтээгдэхүүнийг тогтоосон маршрутын дагуу харилцагчдад хүргэж өгөх Бараа бүтээгдэхүүний нэр төрөл, тоо ширхэгийн дагуу тооцоо хийх, орлого тушаах Орлогын тайлан мэдээг цаг тухай бүр хийж танилцуулах ХАБЭА-н дүрэм журмыг мөрдөж ажиллах","Маркетинг, PR, Менежмент",1650000.0,2022-12-15,88044327,Тнгри инвест 
SAP ERP Manager,"    ""ITWIZARD"" ХХК нь 2016 оноос эхлэн Солонгос улсын Мэдээлэл технологийн компаниудтай хамтран ажиллаж байгаа ба дотоодын зах зээлээс хараат бус ажиллаж байгаа болно. Мэдээлэл, технологийн чиглэлээр олон жил ажилласан туршлагатай хамт олон бүрдүүлэн үйл ажиллагаагаа явуулж байгаа бөгөөд 2022 онд 150 хөгжүүлэгчтэй болох зорилго тавин ажиллаж байна. Та ч бас манай гэр бүлийн гишүүн болсоноор ирээдүйн Ай Ти Визард компанийг хамтдаа бүтээлцэн, илүү өргөжин тэлэхэд бидэнтэй хамтран ажиллахыг уриалж байна.   - Компанийн төсөл, захиалгат ажилд өөрийн үүргийн дагуу оролцох - Ажлын байрны тодорхойлолтын дагуу бусад ажил үүргийг гүйцэтгэнэ.","Мэдээлэл технологи, Харилцаа холбоо",2300000.0,2022-12-16,"75110023, 88023574",Ай Ти Визарт 
Механикч,Лифт угсралттай холбоотой механик болон өргөж  буулгах ажлыг хийж гүйцэтгэнэ.,"Үйлдвэрлэл, Дэд бүтэц",1100000.0,2022-11-22,"89088650, 89067224",Эй Би Өү интернэшнл 
ХИВЭГ САВЛАГЧ  ,-Үйлдвэрээс үйлдвэрлэгдэн гарч байгаа бүтээгдэхүүнийг технологийн дагуу савлах -Үйлдвэрийг борлуулалтанд гаргах болон нөөц савлагдсан бүтээгдэхүүнээр хангах,"Үйлдвэрлэл, Дэд бүтэц",1100000.0,2022-12-16,"99015672, 75758811-105",Глобал Бридж ГруппДэлхийг таны гарт атгуулна.
ХАБЭА-н ажилтан ажилд авна," Барилга угсралтын ажилд ХАБЭА-н дүрэм, журмыг мөрдүүлж ажиллах; ХАБЭА-н холбогдох дүрэм, журам, стандартыг боловсруулах; Ажлын байрны тодорхойлолтод заасан бусад чиг үүрэг","Барилга, Үл хөдлөх хөрөнгө",1650000.0,2022-12-16,"77002929, 96880623",Дэлгэрэх таван чандмань 
Маркетингийн мэргэжилтэн ажилд авна.,"- Компанийн үйлдвэрлэн гаргаж буй бүтээгдэхүүнийг олон нийтэд таниулах,  - Хэрэглэгчдэд сэтгэл татам имидж бүрдүүлж зах зээлд эзлэх хувь хэмжээг нэмэгдүүлж,   тогтвортой хөгжүүлэх - Брэнд хариуцан маркетингтийн мэргэжилтнээр ажиллах  - Үйл ажиллагааны төсөв, стратеги төлөвлөгөө боловсруулах, гүйцэтгэлийг гаргах, тайлагнах - Идвэхижүүлэлттэй холбоотой судалгаа, шинжилгээний алжыг төлөвлөгөөний дагуу гүйцэтгэх - Эвэнт арга хэмжээ зохион байгуулах, оролцох - АБТ-д заасан чиг үүргийг хэрэгжүүлэх","Маркетинг, PR, Менежмент",1650000.0,2022-12-06,"99020615, 77997799",Жем Интернэшнл 
Үйлдвэрт дамжлагын ажилтан ажилд авна, Үйлвэрийн үндсэн үйл ажиллагаанд туслах үүрэг гүйцэтгэх Удирдлагаас өгсөн чиг үүргийг гүйцэтгэх Холбогдох бичиг баримт бичиг бүртгэх  АБТ-д заасан чиг үүрэг,"Үйлдвэрлэл, Дэд бүтэц",1350000.0,2022-12-12,"99020615, 77997799",Жем Интернэшнл 
Цахилгаанчин ажилд авна.,- Обьектын цахилгааны хэвийн үйл ажиллагааг хангах - Цахилгааны урьдчилан сэргийлэх үзлэг оношлогоог тогтмол хийх - Техник ашиглалтын зааварчилгааг тогтмол өгөх - Аюулгүй ажиллагааг баримтлан ажиллах - АБТ-д заасан бусад чиг үүргүүд,"Барилга, Үл хөдлөх хөрөнгө",900000.0,2022-12-16,"99020615, 77997799",Жем Интернэшнл 
Борлуулалтын мэргэжилтэн,"Компанийн стратегийн зорилго болон хэрэглэгчийн хэрэгцээ шаардлагад нийцсэн бүтээгдэхүүнийг зах зээлд нэвтрүүлэх, гадаад нийлүүлэгчдийн харилцааг хадгалах, хөгжүүлэх, борлуулалтын гэрээ байгуулах, борлуулалтын төлөвлөгөөг биелүүлж ажиллах, бүтээгдэхүүний сургалт зохион байгуулах;","Эмнэлэг, Эм хангамж",1650000.0,2022-12-12,70154448,Мед Монгол 
